ค่าเช่า/เดือน,ประเภทห้อง,พื้นที่ห้อง (ตารางเมตร),ชั้น,ค่าเช่าต่อตารางเมตร,,,,,
13000,1,23,18,565,,,,,
7200,1,23,8,313,,,,,
18000,1,38,7,474,,,,,
16500,1,30,16,550,,,,,
9500,1,29,7,328,,,,,
37000,2,78,17,474,,,,,
16000,2,48,7,333,,,,,
9500,1,30,5,317,,,,,
14500,1,31,25,468,,,,,
18000,2,54,4,333,,,,,
27000,2,58,20,466,,,,,
40000,2,54,36,741,,,,,
18000,1,40,20,450,,,,,
9000,1,28,4,321,,,,,
16000,1,36,11,444,,,,,
10000,1,28,4,357,,,,,
24000,1,42,21,571,,,,,
9000,1,28,2,321,,,,,
13500,1,32.5,10,415,,,,,
20000,1,37,4,541,,,,,
20000,2,40,18,500,,,,,
13500,1,32.5,15,415,,,,,
13500,1,44,5,307,,,,,
35000,2,82,6,427,,,,,
13000,2,65,3,200,,,,,
9000,1,35.4,1,254,,,,,
7500,สตูดิโอ,31,4,242,,,,,
6500,1,22.5,7,289,,,,,
8000,1,35.5,4,225,,,,,
13000,1,35,2,371,,,,,
11000,1,35,2,314,,,,,
8000,1,28.5,4,281,,,,,
6500,1,26,8,250,,,,,
7000,1,23,6,304,,,,,
13000,1,26,19,500,,,,,
25000,1,49.6,15,504,,,,,
25000,2,49.6,15,504,,,,,
20000,1,36,6,556,,,,,
45000,2,67.3,6,669,,,,,
27000,1,51,38,529,,,,,
6000,1,23,6,261,,,,,
13000,1,39,6,333,,,,,
22000,2,53,15,415,,,,,
12000,1,32,19,375,,,,,
14500,1,31,18,468,,,,,
16000,1,31,4,516,,,,,
19000,2,45,15,422,,,,,
20000,2,45,17,444,,,,,
10000,1,28,7,357,,,,,
36000,2,60,32,600,,,,,
15000,1,34,8,441,,,,,
18000,1,40,5,450,,,,,
